"System"	"X"	"Y"	2271	2317	2319	2341	2367	2571	2596	2750	2765	2767	2783	2786	2821	2822	2830	2864	3025	3030	3040	3049	3050	3050	3050	3051	3052	3057	3058	3059	3059	3059	3059	3063	3067	3068	3075	3079	3081	3085	3095	3130	3135	3145
"Altoona (FS)"	550.569	-4.176	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area"	"FS,Draconis March,Woodbine Operational Area,Region 3"	"FS,Draconis March,Woodbine Operational Area,Region 3"	"FS,Draconis March,Woodbine Operational Area,Region 3"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"
"Altoona (LC)"	-256.607	-6.274	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"FWL"	"FWL"	"FWL"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Altorra"	-2.852	-263.495	"I"				"SCo"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 2"	"DA"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 2"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"	"CC,Sian Commonality,Region 3"
"Alula Australis"	-24.309	-4.696	"TA"	"TH"	"TH"	"TH"	"TH"	"TH,Alliance Core"	"TH,Alliance Core"	"TH,Alliance Core"	"TH,Alliance Core"	"AE,Alliance Core"	"TH,Alliance Core"	"TH,Alliance Core"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL,Border Protectorate"	"LC,Federation of Skye,Isle of Skye"	"FCL,Skye March,Alcor Operational Area,Region 3"	"FCL,Skye March,Alcor Operational Area,Region 3"	"FCL,Skye March,Alcor Operational Area,Region 3"	"FCL,Skye March,Alcor Operational Area,Region 3"	"FCL,Skye March,Alcor Operational Area,Region 3"	"FCL,Skye March,Alcor Operational Area,Region 3"	"FCL,Skye March,Alcor Operational Area,Region 3"	"LA,Skye March,Alcor Operational Area,Region 3"	"FWL,Border Protectorate"	"FWL,Border Protectorate"	"FWL,Border Protectorate"	"FWL,Border Protectorate"	"FWL,Border Protectorate"	"FWL,Border Protectorate"	"FWL,Border Protectorate"	"FWL,Border Protectorate"	"WOB"	"CoF"	"ROTS,Prefecture X"	"ROTS,Prefecture X"	"ROTS,Prefecture X"	"ROTS,Prefecture X"	"ROTS,Prefecture X"	"ROTS,Prefecture X"
"Alula Borealis"	-258.995	-54.076	"I"	"I"	"I"	"I"		"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"LC,Protectorate of Donegal,Furillo Province"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"I"	"I"	"I"	"LC,Bolan Province,Cavanaugh Theater"	"LC,Bolan Province,Cavanaugh Theater"	"WE"
"Alya"	26.359	96.629			"I"	"I"		"DC,Benjamin Military District,Kuzuu Prefecture"	"DC,Benjamin Military District,Kuzuu Prefecture"	"DC,Benjamin Military District,Kuzuu Prefecture"	"DC,Benjamin Military District,Kuzuu Prefecture"	"DC,Benjamin Military District,Kuzuu Prefecture"	"DC,Benjamin Military District,Kuzuu Prefecture"	"DC,Benjamin Military District,Kuzuu Prefecture"	"DC,Dieron Military District,Kuzuu Prefecture"	"DC,Dieron Military District,Kuzuu Prefecture"	"DC,Dieron Military District,Kuzuu Prefecture"	"DC,Dieron Military District,Kuzuu Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"DC,Dieron Military District,Algedi Prefecture"	"CoF"	"CoF"	"ROTS,Prefecture I"	"ROTS,Prefecture I"	"ROTS,Prefecture I"	"ROTS,Prefecture I"	"I"	"DC,Dieron Military District,Algedi Prefecture"
"Alyina"	-134.91	340.912	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"FCL,Tamar March,Blackjack Operational Area,Region 3"	"FCL,Tamar March,Blackjack Operational Area,Region 3"	"FCL,Tamar March,Blackjack Operational Area,Region 3"	"FCL,Tamar March,Blackjack Operational Area,Region 3"	"FCL,Tamar March,Blackjack Operational Area,Region 3"	"FCL,Tamar March,Blackjack Operational Area,Region 3"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"
"Ambatomainty"	701.409	175.022	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"OA,Blommestein Province"	"OA,Blommestein Province"	"OA,Blommestein Province"	"OA,Blommestein Province"	"OA,Blommestein Province"	"OA,Blommestein Province"	"OA,Blommestein Province"	"OA,Blommestein Province"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Amber"	281.994	-377.916	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Amber Grove"	272.879	-362.394	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC,Perdition Union"	"TC"	"TC"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"
"Ambergrist"	83.482	-257.545	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,St. Ives Commonality,Region 4"	"CC,St. Ives Commonality,Region 4"	"CC,St. Ives Commonality,Region 4"	"CC,St. Ives Commonality,Region 4"	"CC,St. Ives Commonality,Region 4"	"CC,St. Ives Commonality,Region 4"	"CC,St. Ives Commonality,Region 4"	"CC,St. Ives Commonality,Region 4"	"CC,St. Ives Commonality,Region 4"	"CC,St. Ives Commonality,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"SIC,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"D"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"	"CC,St. Ives Commonality,Region 3"
"Ambrose"	-226.176	427.523	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"RWR,Apollo Province"	"RWR,Apollo Province"	"RWR,Apollo Province"	"I"	"I"	"I"	"I"	"I"	"I"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Amiga"	165.17	-84.574	"U"	"U"	"U"		"FS"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FCF,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FCF,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FCF,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FCF,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FCF,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FCF,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FCF,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,Achemar Combat Region"	"FS,Crucis March,Markesan Operational Area,McHenry Prefecture"	"FS,Crucis March,Markesan Operational Area,McHenry Prefecture"	"FS,Crucis March,Markesan Operational Area,McHenry Prefecture"
"Amity"	-128.955	-30.813	"U"			"FWL"	"LC,Federation of Skye"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"LC,Federation of Skye,Rahneshire"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"FWL,Silver Hawk Coalition"	"SHC"	"SHC"	"SHC"	"MSC"	"MSC"	"WE"
"Amminadav"	-411.245	199.515	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"RWR,Timbuktu Province"	"RWR,Timbuktu Province"	"RWR,Timbuktu Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"FCL,Periphery March,Venaria Operational Area,Region 1"	"FCL,Periphery March,Venaria Operational Area,Region 1"	"FCL,Periphery March,Venaria Operational Area,Region 1"	"FCL,Periphery March,Venaria Operational Area,Region 1"	"FCL,Periphery March,Venaria Operational Area,Region 1"	"FCL,Periphery March,Venaria Operational Area,Region 1"	"FCL,Periphery March,Venaria Operational Area,Region 1"	"LA,Periphery March,Venaria Operational Area,Region 1"	"LA,Alarion Province,Timbuktu Theater"	"LA,Alarion Province,Timbuktu Theater"	"LA,Alarion Province,Timbuktu Theater"	"LA,Alarion Province,Timbuktu Theater"	"LA,Alarion Province,Timbuktu Theater"	"LA,Alarion Province,Timbuktu Theater"	"LA,Alarion Province,Timbuktu Theater"	"LA,Alarion Province,Timbuktu Theater"	"LA,Alarion Province,Timbuktu Theater"	"LA,Alarion Province,Timbuktu Theater"	"LA,Buena Province,Timbuktu Theater"	"LC,Buena Province,Timbuktu Theater"	"LC,Buena Province,Timbuktu Theater"	"LC,Buena Province,Timbuktu Theater"	"LC,Buena Province,Timbuktu Theater"	"LC,Buena Province,Timbuktu Theater"
"Ammon"	624.274	213.175	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Amu Darya"	33.408	-338.234	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,Sian Commonality,Region 8"	"CC,Sian Commonality,Region 8"	"CC,Sian Commonality,Region 8"	"CC,Sian Commonality,Region 8"	"CC,Sian Commonality,Region 8"	"CC,Sian Commonality,Region 8"	"CC,Sian Commonality,Region 8"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"An Ting"	301.652	109.811	"I"	"I"	"I"			"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Anaea"	141.276	-115.621	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Anaheim"	299.331	-311.764	"U"	"I"				"TC"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"
"Anatolia (Pillory 3130+)"	-432.787	276.444	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"RWR,Finmark Province"	"RWR,Finmark Province"	"RWR,Finmark Province"	"I"	"I"	"I"	"I"	"I"	"I"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"RT"	"RT"	"RT"	"RT"
"Ancha"	75.47	36.138			"I"			"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Benjamin Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Al Na'ir Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"DC,Dieron Military District,Ashio Prefecture"	"ROTS,Prefecture III"	"ROTS,Prefecture III"	"ROTS,Prefecture III"	"ROTS,Prefecture III"	"DC,Benjamin Military District,Algedi Prefecture"	"DC,Benjamin Military District,Al Na'ir Prefecture"
"Andalusia"	391.342	-109.169	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FCF,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FCF,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FCF,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FCF,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FCF,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FCF,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FCF,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"	"FS,Crucis March,Minette Operational Area,Point Barrow Combat Region"
